affiliation,authorID,type
id046,2070772945,company
id016,79869264,company
id078,2221510848,company
9aD1sUtVw5,143646612,university
id002,122028073,company
4yH6jUtVx8,2253737059,university
id023,102269922,company
5wB0rIkOl7,2053734872,university
id004,2193210098,company
1oC3pXsZb7,102683959,university
3hJ8uSwDy5,2258510880,university
6vA9qRfGh8,2065957838,university
id022,153286091,company
id070,2243095345,company
2aK6yOpQu9,2213901315,university
id033,13469653,company
id062,70125082,company
id075,122337467,company
5lC0sUtVx5,121108723,university
1rF3vHjKl2,102535674,university
id087,146578134,company
2aK6yOpQu9,52528096,university
id072,2065386201,company
0hJ5xNcPw0,1477526489,university
3oA4pXsZb2,2098360087,university
9dF4gNpTu5,2079940257,university
id015,2076820239,company
id017,82996539,company
7oC1tWxYz4,2122676324,university
id084,147494901,company
id043,2096375852,company
4dG6fHjKl8,2133823537,university
id068,2123215720,company
6fB9rHJiJ6,2099165650,university
8sN7zJlLo8,2054066387,university
id055,123225538,company
id040,2182086763,company
id053,2137832935,company
1lJ2mRqSx4,1431153698,university
9dF4gNpTu5,2059685525,university
id073,65791722,company
5lC0sUtVx5,1446746160,university
4pD2uFuGh3,122139827,university
id063,117481085,company
id029,1446779182,company
0hJ5xNcPw0,117376442,university
1oC3pXsZb6,134200755,university
id059,1450168419,company
id091,1582700734,company
id017,122599575,company
5pB0rGhJi1,145599871,university
6hE5tFuGv3,135864343,university
6vB7gHjLy1,147962352,university
id051,133754356,company
id013,2196783717,company
1oC3pXsZb6,146465373,university
3oA5pRfGh1,146951012,university
id061,145378353,company
id085,136431393,company
1pB0qRsTu6,101964565,university
id010,2190230228,company
3hJ8uSwDy5,119352842,university
2vH6oPwEx7,2140061238,university
2jK5lPmOq9,1396985790,university
2lI6mRsTu1,148249768,university
id017,2090079653,company
5sD8tMwEx9,104956062,university
id023,98511618,company
5wE8dRfGh4,2032781703,university
3dP8pRsTv7,98070078,university
id077,119507390,company
4kM9pNoPq7,117186939,university
id052,2123666838,company
4yH6jUtVx9,108284628,university
6fB9rHJiJ6,66581544,university
id009,148296919,company
5lC0sGtVx5,2068193013,university
7oD1tWxYz4,120182696,university
id013,2228187023,company
id060,120508973,company
9vI2yLmNc5,2218061355,university
3oA4pXsZb1,2096243272,university
6vA9qRfGh8,89696177,university
id086,148389916,company
9vI2yLmNc6,2241862501,university
id052,1431306670,company
id061,2249371780,company
id003,30610928,company
9gH4wIxKq1,1381107323,university
0fH5jRqSx4,2250717661,university
5wE8dRfGh3,8302491,university
id100,2116789957,company
5lC0sUtVx5,39513550,university
8sN7zJkLo8,16047379,university
8yU1iOkWz8,2018467139,university
9lP3oAwEx4,2247582814,university
id043,2284451209,company
id060,145244766,company
id093,97911868,company
9vI2yLmNc5,2071952962,university
